time,current bs,availability,cio,hyst,ttt
0.0,15,1.0,0.0,1.0,0.08
1.0,15,1.0,0.0,1.0,0.08
2.0,15,1.0,0.0,1.0,0.08
3.0,15,1.0,0.0,1.0,0.08
4.0,15,1.0,0.0,1.0,0.08
5.0,15,1.0,0.0,1.0,0.08
6.0,15,1.0,0.0,1.0,0.08
7.0,15,1.0,0.0,1.0,0.08
8.0,15,1.0,0.0,1.0,0.08
9.0,15,1.0,0.0,1.0,0.08
10.0,15,1.0,0.0,1.0,0.08
11.0,15,1.0,0.0,1.0,0.08
12.0,15,1.0,0.0,1.0,0.08
13.0,15,1.0,0.0,1.0,0.08
14.0,15,1.0,0.0,1.0,0.08
15.0,15,1.0,0.0,1.0,0.08
16.0,15,1.0,0.0,1.0,0.08
17.0,15,1.0,0.0,1.0,0.08
18.0,15,1.0,0.0,1.0,0.08
19.0,15,1.0,0.0,1.0,0.08
20.0,15,1.0,0.0,1.0,0.08
21.0,15,0.94,0.0,1.0,0.08
22.0,15,0.94,0.0,1.0,0.08
23.0,15,0.92,0.0,1.0,0.08
24.0,15,0.89,0.0,1.0,0.08
25.0,15,0.8,3.5,1.0,0.08
26.0,15,0.63,0.0,1.0,0.08
27.0,15,0.63,0.0,1.0,0.08
28.0,15,0.63,0.0,1.0,0.08
29.0,15,0.65,0.0,1.0,0.08
30.0,15,0.0,3.5,1.0,0.512
31.0,15,0.0,3.5,1.0,1.024
32.0,15,0.64,0.0,1.0,1.024
33.0,15,0.0,3.5,1.0,1.28
34.0,15,0.65,0.0,1.0,1.28
35.0,15,0.0,3.5,1.0,1.024
36.0,15,0.0,0.0,1.0,1.024
37.0,15,0.0,3.5,1.0,1.28
38.0,15,0.65,0.0,1.0,1.28
39.0,15,0.0,3.5,1.0,1.28
40.0,15,0.63,0.0,1.0,1.28
41.0,15,0.0,3.5,1.0,2.56
42.0,15,0.0,3.5,1.0,2.56
43.0,15,0.0,3.5,1.0,2.56
44.0,15,0.68,0.0,1.0,2.56
45.0,15,0.0,3.5,1.0,2.56
46.0,15,0.0,3.5,1.0,2.56
47.0,15,0.0,3.5,1.0,2.56
48.0,15,0.66,0.0,1.0,2.56
49.0,15,0.0,3.5,1.0,2.56
50.0,15,0.0,3.5,1.0,2.56
51.0,15,0.0,3.5,1.0,2.56
52.0,15,0.0,3.5,1.0,2.56
53.0,15,0.0,3.5,1.0,1.28
54.0,15,0.0,3.5,1.0,2.56
55.0,15,0.0,3.5,1.0,2.56
56.0,15,0.0,3.5,1.0,2.56
57.0,15,0.0,3.5,1.0,1.28
58.0,15,0.0,3.5,1.0,1.28
59.0,15,0.0,3.5,1.0,1.28
60.0,15,0.0,3.5,1.0,1.28
61.0,15,0.0,3.5,1.0,1.28
62.0,15,0.0,3.5,1.0,1.28
63.0,15,0.03,3.0,1.0,1.28
64.0,15,0.0,3.5,1.0,1.28
65.0,15,0.03,3.0,1.0,1.28
66.0,15,0.18,2.5,1.0,1.28
67.0,15,0.15,2.5,1.0,1.28
68.0,15,0.13,2.5,1.0,1.28
69.0,15,0.23,2.0,1.0,1.28
70.0,15,0.19,2.0,1.0,1.28
71.0,15,0.22,2.0,1.0,1.28
72.0,15,0.23,2.0,1.0,1.28
73.0,15,0.24,2.0,1.0,1.28
74.0,15,0.28,1.5,1.0,1.28
75.0,15,0.25,2.0,1.0,1.28
76.0,15,0.28,1.5,1.0,1.28
77.0,15,0.25,2.0,1.0,1.28
78.0,15,0.27,2.0,1.0,1.28
79.0,15,0.33,1.5,1.0,1.28
80.0,15,0.32,1.5,1.0,1.28
81.0,15,0.34,1.5,1.0,1.28
82.0,15,0.34,1.5,1.0,1.28
83.0,15,0.34,1.5,1.0,1.28
84.0,15,0.26,2.0,1.0,1.28
85.0,15,0.24,2.0,1.0,1.28
86.0,15,0.21,2.0,1.0,1.28
87.0,15,0.19,2.0,1.0,1.28
88.0,15,0.23,2.0,1.0,1.28
89.0,15,0.22,2.0,1.0,1.28
90.0,15,0.22,2.0,1.0,1.28
91.0,15,0.22,2.0,1.0,1.28
92.0,15,0.6,0.0,1.0,1.28
93.0,15,0.61,0.0,1.0,1.28
94.0,15,0.62,0.0,1.0,1.28
95.0,15,0.63,0.0,1.0,1.28
96.0,15,0.63,0.0,1.0,1.28
97.0,15,0.62,0.0,1.0,1.28
98.0,15,0.62,0.0,1.0,1.28
99.0,15,0.67,0.0,1.0,1.28
100.0,15,0.66,0.0,1.0,1.28
101.0,15,0.66,0.0,1.0,1.28
102.0,15,0.66,0.0,1.0,1.28
103.0,15,0.65,0.0,1.0,1.28
104.0,15,0.64,0.0,1.0,1.28
105.0,15,0.67,0.0,1.0,1.28
106.0,15,0.66,0.0,1.0,1.28
107.0,15,0.64,0.0,1.0,1.28
108.0,15,0.64,0.0,1.0,1.28
109.0,15,0.64,0.0,1.0,1.28
110.0,15,0.64,0.0,1.0,1.28
111.0,15,0.43,1.0,1.0,1.28
112.0,15,0.16,2.5,1.0,1.28
113.0,15,0.4,2.5,1.0,1.28
114.0,15,0.4,1.0,1.0,1.28
115.0,15,0.39,1.0,1.0,1.28
116.0,15,0.39,1.0,1.0,1.28
117.0,15,0.4,1.0,1.0,1.28
118.0,15,0.4,1.0,1.0,1.28
119.0,15,0.05,1.0,1.0,1.28
120.0,15,0.45,3.5,1.0,1.28
121.0,15,0.44,1.0,1.0,1.28
122.0,15,0.41,1.0,1.0,1.28
123.0,15,0.41,1.0,1.0,1.28
