time,current bs,availability,cio,hyst,ttt
0.0,16,1.0,0.0,1.0,0.08
1.0,16,1.0,0.0,1.0,0.08
2.0,16,1.0,0.0,1.0,0.08
3.0,16,1.0,0.0,1.0,0.08
4.0,16,1.0,0.0,1.0,0.08
5.0,16,1.0,0.0,1.0,0.08
6.0,16,1.0,0.0,1.0,0.08
7.0,16,1.0,0.0,1.0,0.08
8.0,16,1.0,0.0,1.0,0.08
9.0,16,1.0,0.0,1.0,0.08
10.0,16,1.0,0.0,1.0,0.08
11.0,16,1.0,0.0,1.0,0.08
12.0,16,1.0,0.0,1.0,0.08
13.0,16,1.0,0.0,1.0,0.08
14.0,16,1.0,0.0,1.0,0.08
15.0,16,1.0,0.0,1.0,0.08
16.0,16,1.0,0.0,1.0,0.08
17.0,16,1.0,0.0,1.0,0.08
18.0,16,1.0,0.0,1.0,0.08
19.0,16,1.0,0.0,1.0,0.08
20.0,16,1.0,0.0,1.0,0.08
21.0,16,0.99,0.0,1.0,0.08
22.0,16,0.99,0.0,1.0,0.08
23.0,16,0.89,0.0,1.0,0.08
24.0,16,0.8,0.0,1.0,0.08
25.0,16,0.48,0.5,1.0,0.08
26.0,16,0.2,2.0,10.0,0.08
27.0,16,0.02,3.0,10.0,0.08
28.0,16,0.0,3.5,10.0,0.08
29.0,16,0.0,3.5,10.0,0.08
30.0,16,0.0,3.5,10.0,0.08
31.0,16,0.0,3.5,10.0,0.08
32.0,16,0.0,3.5,10.0,0.08
33.0,16,0.0,3.5,10.0,0.08
34.0,16,0.0,3.5,10.0,0.08
35.0,16,0.0,3.5,10.0,0.08
36.0,16,0.0,3.5,10.0,0.08
37.0,16,0.0,3.5,10.0,0.08
38.0,16,0.0,3.5,10.0,0.08
39.0,16,0.0,3.5,10.0,0.08
40.0,16,0.0,3.5,10.0,0.08
41.0,16,0.0,3.5,5.0,0.08
42.0,16,0.0,3.5,5.0,0.08
43.0,16,0.0,3.5,5.0,0.08
44.0,16,0.0,3.5,5.0,0.08
45.0,16,0.0,3.5,5.0,0.08
46.0,16,0.0,3.5,4.0,0.08
47.0,16,0.0,3.5,4.0,0.08
48.0,16,0.0,3.5,4.0,0.08
49.0,16,0.0,3.5,4.0,0.08
50.0,16,0.0,3.5,4.0,0.08
51.0,16,0.0,3.5,6.0,0.08
52.0,16,0.0,3.5,6.0,0.08
53.0,16,0.0,3.5,6.0,0.08
54.0,16,0.0,3.5,6.0,0.08
55.0,16,0.0,3.5,6.0,0.08
56.0,16,0.0,3.0,4.5,0.128
57.0,16,0.0,3.5,4.5,0.128
58.0,16,0.0,3.5,4.5,0.128
59.0,16,0.0,3.5,4.5,0.128
60.0,16,0.0,3.5,4.5,0.128
61.0,16,0.0,3.5,4.5,0.1
62.0,16,0.0,3.5,4.5,0.1
63.0,16,0.0,3.5,4.5,0.1
64.0,16,0.0,3.5,4.5,0.1
65.0,16,0.0,3.5,4.5,0.1
66.0,16,0.0,3.5,3.0,0.256
67.0,16,0.0,3.5,3.0,0.256
68.0,16,0.0,3.5,3.0,0.256
69.0,16,0.0,3.5,3.0,0.256
70.0,16,0.0,3.5,3.0,0.256
71.0,16,0.0,3.5,2.5,0.32
72.0,16,0.0,3.5,2.5,0.32
73.0,16,0.0,3.5,2.5,0.32
74.0,16,0.0,3.5,2.5,0.32
75.0,16,0.0,3.5,2.5,0.32
76.0,16,0.0,3.5,2.0,0.512
77.0,16,0.0,3.5,2.0,0.512
78.0,16,0.0,3.5,2.0,0.512
79.0,16,0.0,3.5,2.0,0.512
80.0,16,0.0,3.5,2.0,0.512
81.0,16,0.0,3.5,2.0,0.512
82.0,16,0.0,3.5,2.0,0.512
83.0,16,0.0,3.5,2.0,0.512
84.0,16,0.0,3.5,2.0,0.512
85.0,16,0.0,3.5,2.0,0.512
86.0,16,0.0,3.5,1.5,0.48
87.0,16,0.08,3.0,1.5,0.48
88.0,16,0.08,3.0,1.5,0.48
89.0,16,0.09,3.0,1.5,0.48
90.0,16,0.09,3.0,1.5,0.48
91.0,16,0.08,3.0,1.5,0.48
92.0,16,0.0,3.0,1.5,0.48
93.0,16,0.01,3.0,1.5,0.48
94.0,16,0.0,3.5,1.5,0.48
95.0,16,0.07,3.5,1.5,0.48
96.0,16,0.0,3.5,1.5,0.48
97.0,16,0.0,3.0,1.5,0.48
98.0,16,0.0,3.5,1.5,0.48
99.0,16,0.0,3.5,1.5,0.48
100.0,16,0.0,3.5,1.5,0.48
101.0,16,0.0,3.5,1.5,0.48
102.0,16,0.0,3.5,1.5,0.48
103.0,16,0.24,3.5,1.5,0.48
104.0,16,0.62,0.0,1.5,0.48
105.0,16,0.66,3.5,1.5,0.48
106.0,16,0.52,0.0,1.0,0.512
107.0,16,0.51,2.5,1.0,0.512
108.0,16,0.0,1.0,1.0,0.512
109.0,16,0.36,1.5,1.0,0.512
110.0,16,0.0,1.5,1.0,0.512
111.0,16,0.35,1.5,1.0,0.64
112.0,16,0.4,3.5,1.0,0.64
113.0,16,0.4,1.0,1.0,0.64
114.0,16,0.42,3.0,1.0,0.64
115.0,16,0.42,1.0,1.0,0.64
116.0,16,0.36,3.5,1.0,0.64
117.0,16,0.0,1.5,1.0,0.64
118.0,16,0.24,3.5,1.0,0.64
119.0,16,0.0,2.0,1.0,0.64
120.0,16,0.26,1.5,1.0,0.64
121.0,16,0.0,2.0,1.0,0.64
122.0,16,0.26,2.0,1.0,0.64
123.0,16,0.0,2.0,1.0,0.64
124.0,16,0.24,2.0,1.0,0.64
125.0,16,0.0,2.5,1.0,0.64
126.0,16,0.36,1.5,1.0,0.64
127.0,16,0.0,3.5,1.0,0.64
128.0,16,0.0,1.5,1.0,0.64
129.0,16,0.15,3.5,1.0,0.64
130.0,16,0.0,1.5,1.0,0.64
131.0,16,0.0,3.5,1.0,1.024
132.0,16,0.41,1.0,1.0,1.024
133.0,16,0.25,3.5,1.0,1.024
134.0,16,0.0,2.0,1.0,1.024
135.0,16,0.25,3.5,1.0,1.024
136.0,16,0.0,2.0,1.0,1.024
137.0,16,0.0,3.5,1.0,1.024
138.0,16,0.18,2.5,1.0,1.024
139.0,16,0.0,3.5,1.0,1.024
140.0,16,0.0,2.5,1.0,1.024
141.0,16,0.38,3.5,1.0,1.024
142.0,16,0.0,1.0,1.0,1.024
143.0,16,0.0,3.5,1.0,1.024
144.0,16,0.4,1.0,1.0,1.024
145.0,16,0.21,2.0,1.0,1.024
146.0,16,0.11,2.5,1.0,1.024
147.0,16,0.0,2.5,1.0,1.024
148.0,16,0.21,3.5,1.0,1.024
149.0,16,0.0,3.5,1.0,1.024
150.0,16,0.21,3.5,1.0,1.024
151.0,16,0.0,3.5,1.0,1.024
152.0,16,0.0,3.5,1.0,1.024
153.0,16,0.24,2.0,1.0,1.024
154.0,16,0.0,3.5,1.0,1.024
155.0,16,0.16,2.5,1.0,1.024
156.0,16,0.0,3.5,1.0,1.024
157.0,16,0.0,3.5,1.0,1.024
158.0,16,0.03,3.0,1.0,1.024
159.0,16,0.0,3.5,1.0,1.024
160.0,16,0.02,3.0,1.0,1.024
161.0,16,0.0,3.5,1.0,1.024
162.0,16,0.23,3.5,1.0,1.024
163.0,16,0.0,3.5,1.0,1.024
164.0,16,0.0,3.5,1.0,1.024
165.0,16,0.0,2.5,1.0,1.024
166.0,16,0.0,3.5,1.0,1.024
167.0,16,0.0,2.5,1.0,1.024
168.0,16,0.0,3.5,1.0,1.024
169.0,16,0.18,3.5,1.0,1.024
170.0,16,0.18,2.0,1.0,1.024
171.0,16,0.0,3.5,1.0,1.024
172.0,16,0.0,3.5,1.0,1.024
173.0,16,0.27,1.5,1.0,1.024
174.0,16,0.24,2.0,1.0,1.024
175.0,16,0.62,2.0,1.0,1.024
176.0,16,0.22,0.0,1.0,1.024
177.0,16,0.2,2.0,1.0,1.024
178.0,16,0.62,0.0,1.0,1.024
179.0,16,0.19,2.0,1.0,1.024
180.0,16,0.0,1.0,1.0,1.024
181.0,16,0.4,3.5,1.0,1.024
182.0,16,0.4,1.0,1.0,1.024
183.0,16,0.41,1.0,1.0,1.024
184.0,16,0.0,1.0,1.0,1.024
185.0,16,0.56,2.5,1.0,1.024
186.0,16,0.39,0.0,1.0,1.024
187.0,16,0.2,2.0,1.0,1.024
188.0,16,0.5,0.5,1.0,1.024
189.0,16,0.3,1.5,1.0,1.024
190.0,16,0.46,1.5,1.0,1.024
