time,current bs,availability,cio,hyst,ttt
0.0,6,1.0,0.0,1.0,0.08
1.0,6,1.0,0.0,1.0,0.08
2.0,6,1.0,0.0,1.0,0.08
3.0,6,1.0,0.0,1.0,0.08
4.0,6,1.0,0.0,1.0,0.08
5.0,6,1.0,0.0,1.0,0.08
6.0,6,1.0,0.0,1.0,0.08
7.0,6,1.0,0.0,1.0,0.08
8.0,6,1.0,0.0,1.0,0.08
9.0,6,1.0,0.0,1.0,0.08
10.0,6,1.0,0.0,1.0,0.08
11.0,6,1.0,0.0,1.0,0.08
12.0,6,1.0,0.0,1.0,0.08
13.0,6,1.0,0.0,1.0,0.08
14.0,6,1.0,0.0,1.0,0.08
15.0,6,1.0,0.0,1.0,0.08
16.0,6,1.0,0.0,1.0,0.08
17.0,6,1.0,0.0,1.0,0.08
18.0,6,1.0,0.0,1.0,0.08
19.0,6,1.0,0.0,1.0,0.08
20.0,6,1.0,0.0,1.0,0.08
21.0,6,0.99,0.0,1.0,0.08
22.0,6,0.98,0.0,1.0,0.08
23.0,6,0.87,0.0,1.0,0.08
24.0,6,0.87,0.0,1.0,0.08
25.0,6,0.85,0.0,1.0,0.08
26.0,6,0.0,3.5,1.0,0.08
27.0,6,0.11,3.5,1.0,0.08
28.0,6,0.0,3.5,1.0,0.08
29.0,6,0.0,3.5,1.0,0.08
30.0,6,0.0,3.5,1.0,0.08
31.0,6,0.0,3.5,1.0,2.56
32.0,6,0.0,3.5,1.0,2.56
33.0,6,0.0,3.5,1.0,2.56
34.0,6,0.0,3.5,1.0,2.56
35.0,6,0.0,3.5,1.0,2.56
36.0,6,0.0,3.5,1.0,2.56
37.0,6,0.0,3.5,1.0,2.56
38.0,6,0.0,3.5,1.0,2.56
39.0,6,0.0,3.5,1.0,2.56
40.0,6,0.0,3.5,1.0,2.56
41.0,6,0.0,3.5,1.0,2.56
42.0,6,0.0,3.5,1.0,2.56
43.0,6,0.0,3.5,1.0,2.56
44.0,6,0.0,3.5,1.0,2.56
45.0,6,0.0,3.5,1.0,2.56
46.0,6,0.0,3.5,1.0,2.56
47.0,6,0.0,3.5,1.0,2.56
48.0,6,0.0,3.5,1.0,2.56
49.0,6,0.0,3.5,1.0,2.56
50.0,6,0.0,3.5,1.0,2.56
51.0,6,0.0,3.5,1.0,1.28
52.0,6,0.0,3.5,1.0,1.28
53.0,6,0.36,1.5,1.0,1.28
54.0,6,0.0,3.5,1.0,1.28
55.0,6,0.0,3.5,1.0,1.28
56.0,6,0.0,3.5,1.0,2.56
57.0,6,0.0,3.5,1.0,2.56
58.0,6,0.0,3.5,1.0,2.56
59.0,6,0.0,3.5,1.0,2.56
60.0,6,0.0,3.5,1.0,2.56
61.0,6,0.0,3.5,1.0,2.56
62.0,6,0.0,3.5,1.0,2.56
63.0,6,0.0,3.5,1.0,2.56
64.0,6,0.0,3.5,1.0,2.56
65.0,6,0.0,3.5,1.0,2.56
66.0,6,0.0,3.5,1.0,2.56
67.0,6,0.0,3.5,1.0,2.56
68.0,6,0.04,3.5,1.0,2.56
69.0,6,0.0,3.5,1.0,2.56
70.0,6,0.0,3.5,1.0,2.56
71.0,6,0.0,3.5,1.0,1.28
72.0,6,0.0,3.0,1.0,1.28
73.0,6,0.0,3.5,1.0,1.28
74.0,6,0.0,3.5,1.0,1.28
75.0,6,0.0,3.5,1.0,1.28
76.0,6,0.0,3.5,1.0,1.28
77.0,6,0.0,3.5,1.0,1.28
78.0,6,0.0,3.5,1.0,1.28
79.0,6,0.38,1.0,1.0,1.28
80.0,6,0.4,1.0,1.0,1.28
81.0,6,0.0,3.5,1.0,1.28
82.0,6,0.41,1.0,1.0,1.28
83.0,6,0.39,1.0,1.0,1.28
84.0,6,0.0,3.5,1.0,1.28
85.0,6,0.41,1.0,1.0,1.28
86.0,6,0.87,0.0,1.0,1.28
87.0,6,0.0,3.5,1.0,1.28
88.0,6,0.71,0.0,1.0,1.28
89.0,6,0.72,0.0,1.0,1.28
90.0,6,0.67,0.0,1.0,1.28
91.0,6,0.66,0.0,1.0,1.28
92.0,6,0.65,0.0,1.0,1.28
93.0,6,0.64,0.0,1.0,1.28
94.0,6,0.61,0.0,1.0,1.28
95.0,6,0.68,0.0,1.0,1.28
96.0,6,0.69,0.0,1.0,1.28
97.0,6,0.67,0.0,1.0,1.28
98.0,6,0.67,0.0,1.0,1.28
99.0,6,0.64,0.0,1.0,1.28
100.0,6,0.62,0.0,1.0,1.28
101.0,6,0.62,0.0,1.0,1.28
102.0,6,0.06,0.0,1.0,1.28
103.0,6,0.06,3.0,1.0,1.28
104.0,6,0.0,3.0,1.0,1.28
105.0,6,0.0,3.5,1.0,1.28
106.0,6,0.06,3.0,1.0,1.28
107.0,6,0.0,3.0,1.0,1.28
108.0,6,0.03,3.5,1.0,1.28
109.0,6,0.17,2.5,1.0,1.28
110.0,6,0.0,2.5,1.0,1.28
111.0,6,0.0,3.5,1.0,1.28
112.0,6,0.34,1.5,1.0,1.28
113.0,6,0.0,2.5,1.0,1.28
114.0,6,0.18,3.5,1.0,1.28
115.0,6,0.29,1.5,1.0,1.28
116.0,6,0.0,3.5,1.0,1.28
117.0,6,0.3,1.5,1.0,1.28
118.0,6,0.0,3.5,1.0,1.28
119.0,6,0.0,3.5,1.0,1.28
120.0,6,0.0,3.5,1.0,1.28
121.0,6,0.0,3.5,1.0,1.28
122.0,6,0.53,0.5,1.0,1.28
123.0,6,0.0,3.5,1.0,1.28
124.0,6,0.12,3.5,1.0,1.28
125.0,6,0.0,0.5,1.0,1.28
126.0,6,0.0,3.5,1.0,1.28
127.0,6,0.14,3.5,1.0,1.28
128.0,6,0.0,0.5,1.0,1.28
129.0,6,0.0,3.5,1.0,1.28
130.0,6,0.52,3.5,1.0,1.28
131.0,6,0.0,3.5,1.0,1.28
132.0,6,0.0,3.5,1.0,1.28
133.0,6,0.0,3.5,1.0,1.28
134.0,6,0.19,3.5,1.0,1.28
135.0,6,0.02,3.0,1.0,1.28
136.0,6,0.18,3.5,1.0,1.28
137.0,6,0.59,0.0,1.0,1.28
138.0,6,0.0,3.0,1.0,1.28
139.0,6,0.08,1.0,1.0,1.28
140.0,6,0.08,0.5,1.0,1.28
141.0,6,0.0,3.5,1.0,2.56
142.0,6,0.0,3.5,1.0,2.56
143.0,6,0.47,3.0,1.0,2.56
144.0,6,0.06,0.5,1.0,2.56
145.0,6,0.0,3.5,1.0,2.56
146.0,6,0.0,3.5,1.0,2.56
147.0,6,0.45,3.5,1.0,2.56
148.0,6,0.0,1.0,1.0,2.56
149.0,6,0.0,3.5,1.0,2.56
150.0,6,0.02,3.5,1.0,2.56
151.0,6,0.0,3.5,1.0,1.28
152.0,6,0.0,1.5,1.0,1.28
153.0,6,0.0,2.5,1.0,1.28
154.0,6,0.0,3.5,1.0,1.28
155.0,6,0.0,3.5,1.0,1.28
156.0,6,0.0,1.0,1.0,1.28
157.0,6,0.12,0.5,1.0,1.28
158.0,6,0.12,2.5,1.0,1.28
159.0,6,0.5,0.5,1.0,1.28
160.0,6,0.5,0.5,1.0,1.28
161.0,6,0.28,0.5,1.0,1.28
162.0,6,0.27,2.0,1.0,1.28
163.0,6,0.0,3.5,1.0,1.28
164.0,6,0.87,0.0,1.0,1.28
165.0,6,0.46,0.5,1.0,1.28
166.0,6,0.47,0.5,1.0,1.28
167.0,6,0.48,0.5,1.0,1.28
168.0,6,0.47,0.5,1.0,1.28
169.0,6,0.47,0.5,1.0,1.28
170.0,6,0.47,0.5,1.0,1.28
171.0,6,0.0,3.5,1.0,1.28
172.0,6,0.0,0.5,1.0,1.28
173.0,6,0.85,0.0,1.0,1.28
174.0,6,0.46,1.0,1.0,1.28
175.0,6,0.84,0.0,1.0,1.28
176.0,6,0.34,1.5,1.0,1.28
177.0,6,0.74,1.5,1.0,1.28
178.0,6,0.73,0.0,1.0,1.28
179.0,6,0.19,1.5,1.0,1.28
180.0,6,0.6,0.0,1.0,1.28
181.0,6,0.2,2.0,1.0,1.28
182.0,6,0.6,2.0,1.0,1.28
183.0,6,0.58,0.0,1.0,1.28
184.0,6,0.18,2.5,1.0,1.28
185.0,6,0.59,0.0,1.0,1.28
186.0,6,0.22,2.0,1.0,1.28
187.0,6,0.51,2.0,1.0,1.28
188.0,6,0.5,0.5,1.0,1.28
189.0,6,0.09,3.0,1.0,1.28
190.0,6,0.47,0.5,1.0,1.28
191.0,6,0.07,3.0,1.0,1.28
192.0,6,0.45,3.0,1.0,1.28
193.0,6,0.43,0.5,1.0,1.28
194.0,6,0.06,3.0,1.0,1.28
195.0,6,0.44,1.0,1.0,1.28
196.0,6,0.03,3.0,1.0,1.28
197.0,6,0.43,3.0,1.0,1.28
198.0,6,0.24,1.0,1.0,1.28
199.0,6,0.0,3.5,1.0,1.28
200.0,6,0.42,1.0,1.0,1.28
201.0,6,0.0,3.5,1.0,1.28
202.0,6,0.25,3.5,1.0,1.28
203.0,6,0.27,2.0,1.0,1.28
204.0,6,0.0,3.5,1.0,1.28
205.0,6,0.55,1.0,1.0,1.28
206.0,6,0.0,2.5,1.0,1.28
207.0,6,0.01,3.5,1.0,1.28
208.0,6,0.0,3.5,1.0,1.28
209.0,6,0.45,3.0,1.0,1.28
210.0,6,0.0,3.5,1.0,1.28
211.0,6,0.52,0.5,1.0,1.28
212.0,6,0.0,3.5,1.0,1.28
213.0,6,0.54,3.5,1.0,1.28
214.0,6,0.0,0.0,1.0,1.28
215.0,6,0.0,3.5,1.0,1.28
216.0,6,0.54,0.5,1.0,1.28
217.0,6,0.0,3.5,1.0,1.28
218.0,6,0.62,3.5,1.0,1.28
219.0,6,0.0,0.0,1.0,1.28
220.0,6,0.0,3.5,1.0,1.28
221.0,6,0.62,0.0,1.0,1.28
222.0,6,0.0,3.5,1.0,1.28
223.0,6,0.61,3.5,1.0,1.28
224.0,6,0.0,0.0,1.0,1.28
225.0,6,0.0,3.5,1.0,1.28
226.0,6,0.62,0.0,1.0,1.28
227.0,6,0.0,3.5,1.0,1.28
228.0,6,0.0,3.5,1.0,1.28
229.0,6,0.0,3.5,1.0,1.28
230.0,6,0.0,3.5,1.0,1.28
231.0,6,0.0,3.5,1.0,1.28
232.0,6,0.01,3.5,1.0,1.28
233.0,6,0.0,3.5,1.0,1.28
234.0,6,0.0,3.5,1.0,1.28
