time,current bs,availability,cio,hyst,ttt
0.0,16,1.0,0.0,1.0,0.08
1.0,16,1.0,0.0,1.0,0.08
2.0,16,1.0,0.0,1.0,0.08
3.0,16,1.0,0.0,1.0,0.08
4.0,16,1.0,0.0,1.0,0.08
5.0,16,1.0,0.0,1.0,0.08
6.0,16,1.0,0.0,1.0,0.08
7.0,16,1.0,0.0,1.0,0.08
8.0,16,1.0,0.0,1.0,0.08
9.0,16,1.0,0.0,1.0,0.08
10.0,16,1.0,0.0,1.0,0.08
11.0,16,1.0,0.0,1.0,0.08
12.0,16,1.0,0.0,1.0,0.08
13.0,16,1.0,0.0,1.0,0.08
14.0,16,1.0,0.0,1.0,0.08
15.0,16,1.0,0.0,1.0,0.08
16.0,16,1.0,0.0,1.0,0.08
17.0,16,1.0,0.0,1.0,0.08
18.0,16,1.0,0.0,1.0,0.08
19.0,16,1.0,0.0,1.0,0.08
20.0,16,1.0,0.0,1.0,0.08
21.0,16,0.99,0.0,1.0,0.08
22.0,16,0.99,0.0,1.0,0.08
23.0,16,0.89,0.0,1.0,0.08
24.0,16,0.8,0.0,1.0,0.08
25.0,16,0.48,0.0,10.0,0.08
26.0,16,0.21,1.5,10.0,0.08
27.0,16,0.03,1.5,10.0,0.08
28.0,16,0.0,1.5,10.0,0.08
29.0,16,0.0,1.5,10.0,0.08
30.0,16,0.0,1.5,10.0,0.08
31.0,16,0.01,3.5,10.0,0.08
32.0,16,0.0,3.5,10.0,0.08
33.0,16,0.0,3.5,10.0,0.08
34.0,16,0.0,3.5,10.0,0.08
35.0,16,0.0,3.5,10.0,0.08
36.0,16,0.0,3.5,10.0,0.08
37.0,16,0.0,3.5,10.0,0.08
38.0,16,0.0,3.5,7.0,0.08
39.0,16,0.0,3.5,7.0,0.08
40.0,16,0.0,3.5,7.0,0.08
41.0,16,0.0,3.5,7.0,0.08
42.0,16,0.0,3.5,7.0,0.08
43.0,16,0.0,3.5,7.0,0.08
44.0,16,0.0,3.5,7.0,0.08
45.0,16,0.0,3.5,7.0,0.08
46.0,16,0.0,3.5,7.0,0.08
47.0,16,0.0,3.5,7.0,0.08
48.0,16,0.0,3.5,7.0,0.08
49.0,16,0.0,3.5,7.0,0.08
50.0,16,0.0,3.5,7.0,0.08
51.0,16,0.0,3.5,7.0,0.08
52.0,16,0.0,3.5,7.0,0.08
53.0,16,0.0,3.5,7.0,0.08
54.0,16,0.0,3.5,7.0,0.08
55.0,16,0.0,3.5,7.0,0.08
56.0,16,0.0,3.5,7.0,0.08
57.0,16,0.0,3.5,7.0,0.08
58.0,16,0.0,3.5,7.0,0.08
59.0,16,0.0,3.5,7.0,0.08
60.0,16,0.0,3.5,5.0,0.08
61.0,16,0.0,3.5,4.0,0.08
62.0,16,0.0,3.5,3.5,0.128
63.0,16,0.0,3.5,2.5,0.32
64.0,16,0.0,3.5,2.0,0.48
65.0,16,0.0,3.5,2.0,0.48
66.0,16,0.0,3.5,1.5,0.48
67.0,16,0.0,3.5,1.5,0.48
68.0,16,0.0,3.5,1.5,0.48
69.0,16,0.0,3.5,1.0,0.48
70.0,16,0.0,3.5,1.0,0.48
71.0,16,0.0,3.5,1.0,0.512
72.0,16,0.0,3.5,1.0,0.512
73.0,16,0.0,3.5,1.0,0.512
74.0,16,0.0,3.5,1.0,0.512
75.0,16,0.0,3.5,1.0,0.512
76.0,16,0.0,3.5,1.0,0.64
77.0,16,0.0,3.5,1.0,0.64
78.0,16,0.0,3.5,1.0,0.64
79.0,16,0.0,3.5,1.0,0.64
80.0,16,0.0,3.5,1.0,0.64
81.0,16,0.0,3.5,1.0,0.64
82.0,16,0.0,3.5,1.0,0.64
83.0,16,0.0,3.5,1.0,1.024
84.0,16,0.0,3.5,1.0,1.024
85.0,16,0.0,3.5,1.0,1.024
86.0,16,0.0,3.5,1.0,1.024
87.0,16,0.08,3.5,1.0,1.024
88.0,16,0.03,3.5,1.0,1.024
89.0,16,0.0,3.5,1.0,1.024
90.0,16,0.03,3.5,1.0,0.64
91.0,16,0.0,3.5,1.0,0.64
92.0,16,0.0,3.5,1.0,0.64
93.0,16,0.0,3.5,1.0,0.64
94.0,16,0.22,3.5,1.0,0.64
95.0,16,0.0,3.5,1.0,1.024
96.0,16,0.38,3.5,1.0,1.024
97.0,16,0.0,3.5,1.0,1.024
98.0,16,0.34,3.5,1.0,1.024
99.0,16,0.0,3.5,1.0,1.024
100.0,16,0.35,3.5,1.0,1.024
101.0,16,0.0,1.5,1.0,1.024
102.0,16,0.0,1.5,1.0,1.024
103.0,16,0.0,1.5,1.0,1.024
104.0,16,0.0,1.5,1.0,1.024
105.0,16,0.0,1.5,1.0,1.024
106.0,16,0.0,3.5,1.0,1.024
107.0,16,0.0,3.5,1.0,1.024
108.0,16,0.0,3.5,1.0,1.024
109.0,16,0.0,3.5,1.0,1.024
110.0,16,0.0,3.5,1.0,1.024
111.0,16,0.0,3.0,1.0,1.024
112.0,16,0.0,3.0,1.0,1.024
113.0,16,0.0,3.0,1.0,1.024
114.0,16,0.0,3.0,1.0,1.024
115.0,16,0.0,3.0,1.0,1.024
116.0,16,0.0,3.5,1.0,1.024
117.0,16,0.0,3.5,1.0,1.024
118.0,16,0.0,3.5,1.0,1.024
119.0,16,0.0,3.5,1.0,1.024
120.0,16,0.0,3.5,1.0,1.024
121.0,16,0.0,3.5,1.0,1.024
122.0,16,0.0,3.5,1.0,1.024
123.0,16,0.79,3.5,1.0,1.024
124.0,16,0.79,3.5,1.0,1.024
125.0,16,0.62,3.5,1.0,1.024
126.0,16,0.61,0.0,1.0,1.024
127.0,16,0.55,0.0,1.0,1.024
128.0,16,0.58,0.0,1.0,1.024
129.0,16,0.0,0.0,1.0,1.024
130.0,16,0.0,0.0,1.0,1.024
131.0,16,0.0,3.5,1.0,1.024
132.0,16,0.0,3.5,1.0,1.024
133.0,16,0.09,3.5,1.0,1.024
134.0,16,0.0,3.5,1.0,1.024
135.0,16,0.0,3.5,1.0,1.024
136.0,16,0.0,3.5,1.0,1.024
137.0,16,0.0,3.5,1.0,1.024
138.0,16,0.0,3.5,1.0,1.024
139.0,16,0.0,3.5,1.0,1.024
140.0,16,0.0,3.5,1.0,1.024
141.0,16,0.0,3.5,1.0,1.024
142.0,16,0.02,3.5,1.0,1.024
143.0,16,0.0,3.5,1.0,1.024
144.0,16,0.0,3.5,1.0,1.024
145.0,16,0.13,3.5,1.0,1.024
146.0,16,0.0,3.5,1.0,1.024
147.0,16,0.03,3.5,1.0,1.024
148.0,16,0.0,3.5,1.0,1.024
149.0,16,0.03,3.5,1.0,1.024
150.0,16,0.0,3.5,1.0,1.024
151.0,16,0.03,3.5,1.0,1.024
152.0,16,0.0,3.5,1.0,1.28
153.0,16,0.0,3.5,1.0,1.28
154.0,16,0.0,3.5,1.0,1.28
155.0,16,0.0,3.5,1.0,1.28
156.0,16,0.0,3.5,1.0,1.28
157.0,16,0.0,3.5,1.0,1.024
158.0,16,0.0,3.5,1.0,1.024
159.0,16,0.0,3.5,1.0,1.024
160.0,16,0.0,3.5,1.0,1.024
161.0,16,0.0,3.5,1.0,1.024
162.0,16,0.0,3.5,1.0,1.024
163.0,16,0.0,3.5,1.0,1.024
164.0,16,0.0,3.5,1.0,1.024
165.0,16,0.0,3.5,1.0,1.024
166.0,16,0.0,3.5,1.0,1.024
167.0,16,0.0,3.5,1.0,1.28
168.0,16,0.0,3.5,1.0,1.28
169.0,16,0.0,3.5,1.0,1.28
170.0,16,0.0,3.5,1.0,1.28
171.0,16,0.0,3.5,1.0,1.28
172.0,16,0.0,3.5,1.0,1.28
173.0,16,0.0,3.5,1.0,1.28
174.0,16,0.0,3.5,1.0,1.28
175.0,16,0.06,3.5,1.0,1.28
176.0,16,0.0,3.5,1.0,1.28
177.0,16,0.0,3.5,1.0,1.28
178.0,16,0.05,3.5,1.0,1.28
179.0,16,0.0,3.5,1.0,1.28
180.0,16,0.0,3.5,1.0,1.28
181.0,16,0.0,3.5,1.0,1.28
182.0,16,0.0,3.5,1.0,1.28
183.0,16,0.0,3.5,1.0,1.28
184.0,16,0.0,3.5,1.0,1.28
185.0,16,0.0,3.5,1.0,1.28
186.0,16,0.0,3.5,1.0,1.28
187.0,16,0.0,3.5,1.0,1.28
188.0,16,0.0,3.5,1.0,1.28
189.0,16,0.0,3.5,1.0,1.28
190.0,16,0.0,3.5,1.0,1.28
